case_id,domain,assertion,review_status,writable_scope,source_evidence,verification_performed,important_caveat
Q17-sdgsat-light-classification,lineage,"Original RGB and preprocessed/calibrated analysis RGB are the declared source chain",supported,can_write_with_qualification,"formal-observation-package.json source_scene; SHA-256 values",Both external RGB files existed and their full hashes matched the package; metadata and grid were reopened,"Hash and matching grid establish file identity, not the preceding preprocessing method"
Q17-sdgsat-light-classification,grid,"Original, analysis RGB, RRLI and RBLI share EPSG:32651, 5674x9250, 40 m transform and bounds",supported,can_write,"formal-observation-package.json; formal RRLI/RBLI GeoTIFFs",All four GeoTIFFs reopened with rasterio; shape/CRS/transform/bounds/NoData checked,"No resampling or reprojection is implied"
Q17-sdgsat-light-classification,bands,"Band order is R,G,B",partial,can_write_with_qualification,"formal-observation-package.json band_order_evidence; compute_formal_indices.py:94-99",Three-band metadata was reopened; source TIFF has no embedded band descriptions,"Band semantics rely on the active runtime contract and user designation"
Q17-sdgsat-light-classification,nodata,"Source NoData 0 and analysis/output NoData -9999 are propagated",supported,can_write,"formal-observation-package.json method_contract; GeoTIFF metadata",Source and outputs reopened; zero-background/zero-G samples returned output NoData,"The valid mask also excludes non-finite values and zero green denominators"
Q17-sdgsat-light-classification,indices,"Formal RRLI and RBLI are R/G and B/G derived from the preprocessed RGB",supported,can_write,"compute_formal_indices.py:118-156; output hashes",RRLI/RBLI reopened and four valid positions matched direct division at float32 round-off,"This is an analysis-ready index check, not classification accuracy"
Q17-sdgsat-light-classification,preprocessing,"This round completed the full destriping/radiometric calibration chain",unsupported,cannot_write,"formal-observation-package.json calibration_contract.note; formal-data-specialist-log.md",Package/log explicitly state the user supplied calibrated raster and chain was not recreated,"Do not rewrite this as a Data Searcher preprocessing accomplishment"
Q17-sdgsat-light-classification,classification,"RRLI/RBLI audit proves ground-truth light-type classification accuracy",unsupported,cannot_write,"Scope of this review; classification outputs not used as input evidence",No accuracy or label validation was performed by this role,"Ground-truth and downstream Analyst claims are outside this input audit"
Q18-myanmar-earthquake,hdf_inventory,"The formal package uses 16 official VNP46A2 HDF5 granules",supported,can_write,"formal-observation-package.json input_inventory; artifact-manifest.json",All 16 paths existed; all 16 full SHA-256 and byte counts matched; all opened with h5py,"The source directory is a frozen input location, not a benchmark result"
Q18-myanmar-earthquake,product_band,"Product is VNP46A2 Collection 2 and selected band is DNB_BRDF-Corrected_NTL in nW cm^-2 sr^-1",supported,can_write,"formal-observation-package.json product; HDF dataset attributes",Required radiance dataset path and attributes read from all 16 HDFs,"Do not substitute another band or imply a new live acquisition"
Q18-myanmar-earthquake,grid,"All granules share tile h27v06, VersionID 002, 2400x2400, 90-100E/20-30N and 15 arc-second geographic grid",supported,can_write,"formal-observation-package.json grid; StructMetadata.0; builder grid checks",StructMetadata and root grid attributes read; same signature across all 16 files,"Pixel-centre summaries are not area/population weighted"
Q18-myanmar-earthquake,spatial_support,"25 km and 50 km WGS84 geodesic pixel-centre supports are predeclared",supported,can_write,"formal-observation-package.json aoi/grid; build_formal_q18_timeseries.py:114-164",Package and builder logic read; pixel counts 9895 and 39575 verified in package/CSV,"Supports must remain separate; they are not pooled"
Q18-myanmar-earthquake,qa,"Strict QA is physical validity AND Mandatory=0 AND cloud/night/quality/flag criteria AND Snow_Flag=0",supported,can_write,"formal-observation-package.json qa_contract; builder:167-212",All four QA datasets were read from all 16 HDFs; mask code and fill values inspected,"Exact pixel acquisition time is not exposed"
Q18-myanmar-earthquake,dates,"Pre-event 2025-03-21..27, event product 2025-03-28, and late follow-up 2026-07-24..31 are the supplied date blocks",supported,can_write,"formal-observation-package.json temporal_coverage; CSV",CSV reopened with 16 unique dates per support and date labels matched inventory,"Local-night date is an interpretation of UTC product date"
Q18-myanmar-earthquake,missing_quality,"Zero-QA dates are retained as explicit missing observations",supported,can_write,"formal-observation-package.json coverage_diagnostics; formal-q18-analysis-ready.csv",CSV reread: 25 km 5 missing dates, 50 km 1; blank statistics and qa_valid_fraction=0,"Do not encode missing as zero or silently drop"
Q18-myanmar-earthquake,descriptive_contrast,"Separate 25/50 km first-post descriptive contrasts are supported by the analysis-ready table",supported,can_write_with_qualification,"formal-q18-analysis-ready.csv; evidence-report.json",Pre-event means and first-post means independently recomputed from CSV,"Small samples and sparse late follow-up limit interpretation"
Q18-myanmar-earthquake,recovery,"The package supports a continuous recovery trajectory or recovery rate",unsupported,cannot_write,"temporal_coverage.immediate_post_event_gap; CSV date blocks",No supplied products between 2025-03-28 and 2026-07-24; late rows are sparsely qualified,"Only a first post-event local-night contrast and late observations are available"
Q18-myanmar-earthquake,causal_inference,"NTL change proves earthquake causation, outage, damage or restoration",unsupported,cannot_write,"formal-observation-package.json limitations; evidence-report.json not_supported",No causal analysis was performed,"Nighttime-light change is observational"
Q18-myanmar-earthquake,significance,"The first-night differences establish statistical significance",unsupported,cannot_write,"formal-observation-package.json limitations; evidence-report.json",No significance test or adequate repeated post-event sample was established,"Do not add significance language"
common,execution_identity,"This work proves deployed NTL-GPT/Deep Agents runtime or benchmark performance",unsupported,cannot_write,experiment-contract.md and this review scope,No runtime telemetry or benchmark evaluation was inspected,"All outputs are explicitly Codex-subagent simulation artifacts"
