Year,LabelCity,CityNormalized,DEI,Status,Reason,BoundaryName,BoundaryGB,MatchMethod,TNTL
2017,上海,上海,83.8,matched,,上海市,156310000,unique_exact_or_prefix,473376.166910915
2017,东莞,东莞,68.8,matched,,东莞市,156441900,unique_exact_or_prefix,148600.082488628
2017,乌鲁木齐,乌鲁木齐,59.8,matched,,乌鲁木齐市,156650100,unique_exact_or_prefix,98939.709697082
2017,佛山,佛山,69.8,matched,,佛山市,156440600,unique_exact_or_prefix,128701.589701781
2017,兰州,兰州,53.2,matched,,兰州市,156620100,unique_exact_or_prefix,49951.3019165479
2017,包头,包头,50.1,matched,,包头市,156150200,unique_exact_or_prefix,49814.6896987719
2017,北京,北京,83.3,matched,,北京市,156110000,unique_exact_or_prefix,361065.607892292
2017,南京,南京,77,matched,,南京市,156320100,unique_exact_or_prefix,165677.620817396
2017,南宁,南宁,61.8,matched,,南宁市,156450100,unique_exact_or_prefix,74748.9553398806
2017,南昌,南昌,69.5,matched,,南昌市,156360100,unique_exact_or_prefix,53496.2051136438
2017,厦门,厦门,76.3,matched,,厦门市,156350200,unique_exact_or_prefix,79767.3094256177
2017,合肥,合肥,62.9,matched,,合肥市,156340100,unique_exact_or_prefix,141084.270089882
2017,呼和浩特,呼和浩特,63.8,matched,,呼和浩特市,156150100,unique_exact_or_prefix,78638.2513221488
2017,哈尔滨,哈尔滨,67.6,matched,,哈尔滨市,156230100,unique_exact_or_prefix,108180.58180402
2017,唐山,唐山,60.4,matched,,唐山市,156130200,unique_exact_or_prefix,119270.7777141
2017,大连,大连,68.2,matched,,大连市,156210200,unique_exact_or_prefix,88836.691302745
2017,天津,天津,78.1,matched,,天津市,156120000,unique_exact_or_prefix,328648.435332313
2017,太原,太原,56.3,matched,,太原市,156140100,unique_exact_or_prefix,94649.2634124083
2017,宁波,宁波,78.9,matched,,宁波市,156330200,unique_exact_or_prefix,203363.095709914
2017,广州,广州,83.3,matched,,广州市,156440100,unique_exact_or_prefix,207714.57128544
2017,成都,成都,80.4,matched,,成都市,156510100,unique_exact_or_prefix,243074.043914574
2017,无锡,无锡,77.1,matched,,无锡市,156320200,unique_exact_or_prefix,158012.23537752
2017,昆明,昆明,63,matched,,昆明市,156530100,unique_exact_or_prefix,121914.496404616
2017,杭州,杭州,78.3,matched,,杭州市,156330100,unique_exact_or_prefix,195234.294729891
2017,武汉,武汉,80,matched,,武汉市,156420100,unique_exact_or_prefix,165671.421337938
2017,沈阳,沈阳,70.5,matched,,沈阳市,156210100,unique_exact_or_prefix,147291.380863254
2017,泉州,泉州,64.9,matched,,泉州市,156350500,unique_exact_or_prefix,145908.378654359
2017,济南,济南,73.9,matched,,济南市,156370100,unique_exact_or_prefix,103397.695221756
2017,深圳,深圳,84.9,matched,,深圳市,156440300,unique_exact_or_prefix,149784.119658342
2017,烟台,烟台,63,matched,,烟台市,156370600,unique_exact_or_prefix,79238.5335269507
2017,石家庄,石家庄,58.6,matched,,石家庄市,156130100,unique_exact_or_prefix,82943.7459755191
2017,福州,福州,66.3,matched,,福州市,156350100,unique_exact_or_prefix,114376.511591635
2017,苏州,苏州,74.9,matched,,苏州市,156320500,unique_exact_or_prefix,387505.669333108
2017,西安,西安,55.6,matched,,西安市,156610100,unique_exact_or_prefix,154131.725082557
2017,贵阳,贵阳,69.6,matched,,贵阳市,156520100,unique_exact_or_prefix,64425.3832335177
2017,郑州,郑州,60.6,matched,,郑州市,156410100,unique_exact_or_prefix,155401.534710343
2017,重庆,重庆,75.4,matched,,重庆市,156500000,unique_exact_or_prefix,211617.391713589
2017,长春,长春,65.4,matched,,长春市,156220100,unique_exact_or_prefix,136405.106985306
2017,长沙,长沙,74.1,matched,,长沙市,156430100,unique_exact_or_prefix,104917.715776521
2017,青岛,青岛,74.9,matched,,青岛市,156370200,unique_exact_or_prefix,136400.61523303
2018,上海,上海,89,matched,,上海市,156310000,unique_exact_or_prefix,477025.499455906
2018,东莞,东莞,66.5,matched,,东莞市,156441900,unique_exact_or_prefix,158685.182312523
2018,东营,东营,50.4,matched,,东营市,156370500,unique_exact_or_prefix,63029.1918606608
2018,中山,中山,55.1,matched,,中山市,156442000,unique_exact_or_prefix,72998.9289186726
2018,临沂,临沂,43.8,matched,,临沂市,156371300,unique_exact_or_prefix,97111.1332082459
2018,乌鲁木齐,乌鲁木齐,58.1,matched,,乌鲁木齐市,156650100,unique_exact_or_prefix,108075.882435253
2018,九江,九江,45.4,matched,,九江市,156360400,unique_exact_or_prefix,28734.4823378736
2018,佛山,佛山,68.6,matched,,佛山市,156440600,unique_exact_or_prefix,134678.528566437
2018,保定,保定,35,matched,,保定市,156130600,unique_exact_or_prefix,78062.2166783436
2018,兰州,兰州,58.1,matched,,兰州市,156620100,unique_exact_or_prefix,66614.5946389904
2018,包头,包头,51.3,matched,,包头市,156150200,unique_exact_or_prefix,48401.2921557146
2018,北京,北京,87.9,matched,,北京市,156110000,unique_exact_or_prefix,370940.998060853
2018,南京,南京,73.4,matched,,南京市,156320100,unique_exact_or_prefix,177073.05405856
2018,南宁,南宁,54.9,matched,,南宁市,156450100,unique_exact_or_prefix,84896.9985506577
2018,南昌,南昌,58.5,matched,,南昌市,156360100,unique_exact_or_prefix,63525.071122399
2018,南通,南通,63.9,matched,,南通市,156320600,unique_exact_or_prefix,131827.599028051
2018,厦门,厦门,67.6,matched,,厦门市,156350200,unique_exact_or_prefix,87096.121075467
2018,台州,台州,57.3,matched,,台州市,156331000,unique_exact_or_prefix,89552.472941544
2018,合肥,合肥,64.8,matched,,合肥市,156340100,unique_exact_or_prefix,148617.650599887
2018,吉林,吉林,35.4,matched,,吉林市,156220200,unique_exact_or_prefix,37944.668509603
2018,呼和浩特,呼和浩特,54.8,matched,,呼和浩特市,156150100,unique_exact_or_prefix,78623.8708912733
