case_id,review_id,scope,claim_or_metric,evidence_artifact,verification_method,status,usable_conclusion,unusable_conclusion,notes
Q17-sdgsat-light-classification,Q17-R1,deterministic classification,"Fixed ordered rules: RRLI>9 -> RLED; else RBLI>0.57 -> WLED; else Other; invalid -> NoData 255","Q17 formal-class-statistics.json; formal-analyst-log.md","Read method contract and analyst log; no threshold or mask change",accepted_with_boundaries,"The fixed ordered-rule output and its pixel accounting can be reported","No claim of threshold optimality or independent truth","Codex-subagent simulation; formal output was not regenerated"
Q17-sdgsat-light-classification,Q17-R2,pixel statistics,"WLED 4,211,496; RLED 244,523; Other 5,328,117; valid 9,784,136","Q17 formal classification TIFF; formal-class-statistics.json","Independent read-only blockwise raster scan; all codes and totals matched",verified,"Class counts, NoData count, and planar 40 m pixel-area summaries are usable","Not a field-surveyed illuminated footprint or real luminaire-area estimate","Total pixels 52,484,500; NoData 42,700,364"
Q17-sdgsat-light-classification,Q17-R3,reference comparison,"88.78% overall agreement on 9,782,275 common semantic pixels","Q17 formal-reference-comparison.json","Recomputed diagonal sum / denominator = 0.8878253780434511",accepted_with_boundaries,"Report as 88.78% implementation agreement with the earlier implementation reference","Do not call it accuracy, ground-truth accuracy, or classification correctness","No field-validated light-type labels were available; code 0/reference NoData excluded"
Q17-sdgsat-light-classification,Q17-R4,simulation/runtime boundary,"Role-separated procedural evidence","Q17 evidence-report.md; rerun experiment-contract.md","Scope and artifact provenance review",accepted_with_boundaries,"May describe a bounded Codex-subagent evidence simulation","Cannot prove deployed NTL-GPT/Deep Agents execution, four-role performance, Full-vs-Single gain, or benchmark result","Runtime and benchmark claims are out of scope"
Q18-myanmar-earthquake,Q18-R1,25 km descriptive contrast,"25 km: baseline 1.482539 (n=6), first post-event 1.043513, difference -29.61%","Q18 formal-analysis-table.csv; formal-analysis-results.json","Independent CSV arithmetic and table-JSON numeric consistency",verified,"Report the support-specific first-night descriptive contrast as -29.61%","Cannot call it earthquake-caused outage, damage, or loss percentage","Strict QA; missing day excluded, not imputed as zero"
Q18-myanmar-earthquake,Q18-R2,50 km descriptive contrast,"50 km: baseline 0.833820 (n=7), first post-event 0.874851, difference +4.92%","Q18 formal-analysis-table.csv; formal-analysis-results.json","Independent CSV arithmetic and table-JSON numeric consistency",verified,"Report the support-specific first-night descriptive contrast as +4.92%","Cannot call it recovery, rebound, or no-impact evidence","Strict QA; all seven pre-event days had valid daily means"
Q18-myanmar-earthquake,Q18-R3,spatial sensitivity,"25 km declines while 50 km increases","Q18 formal-analysis-table.csv; formal-analysis-results.json; formal-analyst-log.md","Compare signed contrasts across predeclared supports",accepted_with_boundaries,"Report the result as scale-sensitive descriptive comparison","Cannot infer a scale-robust direction or true impact radius","Do not pool the two supports"
Q18-myanmar-earthquake,Q18-R4,causal interpretation,"Observed first-night NTL contrast","Q18 evidence-report.md; formal-q18-validation.json","Read explicit interpretation limits and validation flags",not_supported,"Only observational, quality-qualified comparison is usable","No earthquake causation, outage, physical damage, statistical significance, or population/building effect","Subsequent earthquake source conflict preserved"
Q18-myanmar-earthquake,Q18-R5,recovery interpretation,"Late observations about 16 months later","Q18 formal-analysis-results.json; formal-analyst-log.md","Check temporal gap and QA coverage limitations",not_supported,"Late observations may be listed as isolated descriptive follow-up","No recovery trajectory, recovery rate, or continuous monitoring claim","Only one near-event post-event local night is available"

