kind,file,path,bytes,sha256,parse_status,recorded_bytes,recorded_sha256,recorded_hash_match,use
experiment contract,experiment-contract.md,vault/ntl-gpt/experiments/paper-case-codex-subagent-rerun-2026-08-17/experiment-contract.md,3163,f2a15658cf411b7a4c8391b0fa4f22a72977a61eef56e6345cde77ee8dec26aa,parsed,,,True,AOI/product/date/QA/daily-series evidence input
source input,daily-vnp46a2.csv,vault/ntl-gpt/experiments/paper-case-multiagent-2026-08-13/Q19-tehran-city-longseries/daily-vnp46a2.csv,74552,ddf35ce0af13ff42dc3538de1af1c98303a78d3da7fdc15585e5471f822151ac,parsed,74552,ddf35ce0af13ff42dc3538de1af1c98303a78d3da7fdc15585e5471f822151ac,True,AOI/product/date/QA/daily-series evidence input
source input,daily-vnp46a2-raw.jsonl,vault/ntl-gpt/experiments/paper-case-multiagent-2026-08-13/Q19-tehran-city-longseries/daily-vnp46a2-raw.jsonl,164479,2180f1e6cbceb9ec65e4f3a8bb2f346f33001377c5f32aa69aa1857e07dd0087,parsed,164479,2180f1e6cbceb9ec65e4f3a8bb2f346f33001377c5f32aa69aa1857e07dd0087,True,AOI/product/date/QA/daily-series evidence input
source input,observation-package.json,vault/ntl-gpt/experiments/paper-case-multiagent-2026-08-13/Q19-tehran-city-longseries/observation-package.json,13076,2f7d7ba4a79660944088b6cc69fe772c2c52c648f2763304134eff0ff6aad52e,parsed,13076,2f7d7ba4a79660944088b6cc69fe772c2c52c648f2763304134eff0ff6aad52e,True,AOI/product/date/QA/daily-series evidence input
source input,tehran-boundary.geojson,vault/ntl-gpt/experiments/paper-case-multiagent-2026-08-13/Q19-tehran-city-longseries/tehran-boundary.geojson,382894,66b65ad355fe607229f4e16dfce366e54d16ce81a2c208e63edbb0d838d7e02d,read,382894,66b65ad355fe607229f4e16dfce366e54d16ce81a2c208e63edbb0d838d7e02d,True,AOI/product/date/QA/daily-series evidence input
source input,tehran-boundary-metadata.json,vault/ntl-gpt/experiments/paper-case-multiagent-2026-08-13/Q19-tehran-city-longseries/tehran-boundary-metadata.json,3009,3eb130109a7b5a2003aa238f9876586c803b65d5af970f8101c933ed517827c4,parsed,3009,3eb130109a7b5a2003aa238f9876586c803b65d5af970f8101c933ed517827c4,True,AOI/product/date/QA/daily-series evidence input
source input,gee-checkpoint.json,vault/ntl-gpt/experiments/paper-case-multiagent-2026-08-13/Q19-tehran-city-longseries/gee-checkpoint.json,1806,f5d60d60d43785982ab7c7445d4b78df6b689ef0050908f7ea7b5efc145c0136,parsed,1806,f5d60d60d43785982ab7c7445d4b78df6b689ef0050908f7ea7b5efc145c0136,True,AOI/product/date/QA/daily-series evidence input
source input,data-searcher-log.md,vault/ntl-gpt/experiments/paper-case-multiagent-2026-08-13/Q19-tehran-city-longseries/data-searcher-log.md,3854,fda4644b854ffe0e954d0608666519e342bfbe57252578158a12bcf368580ab4,parsed,3854,fda4644b854ffe0e954d0608666519e342bfbe57252578158a12bcf368580ab4,True,AOI/product/date/QA/daily-series evidence input
source manifest (self-entry omitted),artifact-manifest.json,vault/ntl-gpt/experiments/paper-case-multiagent-2026-08-13/Q19-tehran-city-longseries/artifact-manifest.json,15703,e1af681b5092c3fa4fd82691a070375de9a5b451bd0b6bfc62cbbfecf0241d09,parsed,,,True,AOI/product/date/QA/daily-series evidence input
source input,extract_tehran_daily_vnp46a2.py,vault/ntl-gpt/experiments/paper-case-multiagent-2026-08-13/Q19-tehran-city-longseries/extract_tehran_daily_vnp46a2.py,46844,8917ee99bea6405a96841bd8022dd18b25c90b2a471cb9d99d20d38253c465ee,parsed,46844,8917ee99bea6405a96841bd8022dd18b25c90b2a471cb9d99d20d38253c465ee,True,AOI/product/date/QA/daily-series evidence input
